Code,Airline_Name
9E,Endeavor Air Inc.
AA,American Airlines Inc.
AS,Alaska Airlines Inc.
B6,JetBlue Airways
CO,Continental Air Lines Inc.
DH,Independence Air
DL,Delta Air Lines Inc.
EA,Eastern Air Lines Inc.
EV,ExpressJet Airlines LLC d/b/a aha!
F9,Frontier Airlines Inc.
FL,AirTran Airways Corporation
G4,Allegiant Air
HA,Hawaiian Airlines Inc.
HP,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)
KH,Aloha Air Cargo
ML (1),Midway Airlines Inc. (1)
MQ,Envoy Air
NK,Spirit Air Lines
NW,Northwest Airlines Inc.
OH,PSA Airlines Inc.
OO,SkyWest Airlines Inc.
PA (1),Pan American World Airways (1)
PI,Piedmont Aviation Inc.
PS,Ukraine International Airlines
QX,Horizon Air
TW,Trans World Airways LLC
TZ,ATA Airlines d/b/a ATA
UA,United Air Lines Inc.
US,US Airways Inc.
VX,Virgin America
WN,Southwest Airlines Co.
XE,ExpressJet Airlines Inc.
YV,Mesa Airlines Inc.
YX,Republic Airline